#ID	Colour
0	#FFFFFF
10	#DFE3DD	
11	#F0EDE9
12	#EFEAEE
13	#E8E7E0
20	#6A6D72
21	#878184
22	#73787C
23	#6D7068	
30	#A272BB	
31	#D6A0E0
32	#7E617C	
40	#FFA2C1
41	#EFBDBA	
50	#DD4051	
51	#D0334A 
52	#F16671	
53	#D25B61
54	#D96B57	
55	#B64E5F
56	#A1626C
60	#89CF71	
61	#C8E3B1	
62	#637456
70	#FBE060	
71	#EFDF43	
72	#F5DD92	
73	#F3D366
80	#50A0DC	
81	#B0DCEA	
82	#616D93	
83	#758FDC
84	#51B9DD
100	#E54C5C
101	#C09905
102	#F7CE35
103	#DAF038
104	#7FE573
105	#A38777
106	#A1E2E7
107	#FF9DD3
108	#91A7AA
109	#697FCC
110	#82BA8D
111	#92A743
112	#BDE740
113	#50BD71
