#id	ImageId	Slot	Name
0	0	10	---
395	395	0	gloves
116	316	1	borrowed hammer
117	317	1	borrowed hammer
118	318	1	borrowed hammer
202	202	1	historic hammer
316	316	1	giant mallet
317	317	1	sledgehammer
318	318	1	war hammer
320	320	1	ultimallet *
2498	320	1	borrowed hammer
1	1	2	seawater-filled bottomless pot
31	31	2	bottomless pot
1557	1557	2	poison-filled bottomless pot
1558	1558	2	lava-filled bottomless pot
1559	1559	2	plasma-filled bottomless pot
1623	1623	2	(bucket)
1624	1623	2	(bucket)
1625	1623	2	(bucket)
1626	1623	2	(bucket)
1767	1767	2	water-filled bottomless pot
1768	1768	2	hot water-filled bottomless pot
2013	2013	2	filthy water-filled bottomless pot
1174	1174	3	echo flute
4	4	4	transform-o-trowel
1889	1889	5	magic pencil
1890	1890	6	diagonal chisel
2027	1890	6	concave chisel
2028	1890	6	flat chisel
2168	1890	6	chisel
32	32	7	fishing rod
1858	1858	8	stone hoe
