#ID	hair	face	body	tier	monster
0	0	0	0	0	FALSE
1	3	3	50	3	FALSE
2	4	4	52	3	FALSE
3	0	0	352	3	TRUE
4	21	30	109	3	FALSE
5	5	5	54	0	FALSE
6	15	12	107	3	FALSE
7	0	0	400	3	TRUE
8	0	0	401	3	TRUE
14	18	16	139	3	FALSE
15	0	0	0	0	FALSE
16	0	0	0	0	FALSE
17	0	0	0	0	FALSE
18	0	0	0	0	FALSE
19	0	0	0	0	FALSE
20	0	0	0	0	FALSE
21	0	0	0	0	FALSE
22	0	0	0	3	TRUE
23	0	0	248	3	TRUE
24	19	18	87	3	FALSE
25	0	0	292	3	TRUE
26	35	27	127	3	FALSE
27	0	0	292	3	TRUE
28	0	0	292	3	TRUE
29	0	0	0	0	FALSE
30	0	0	0	0	FALSE
31	0	0	0	0	FALSE
32	0	0	0	0	FALSE
34	0	0	301	3	TRUE
35	0	0	292	3	TRUE
36	0	0	248	3	TRUE
37	0	0	292	3	TRUE
38	0	0	292	3	TRUE
39	0	0	336	3	TRUE
40	0	0	248	3	TRUE
41	26	15	107	2	FALSE
42	26	14	107	2	FALSE
43	27	19	107	2	FALSE
44	0	0	200	3	TRUE
45	0	0	336	3	TRUE
46	0	0	292	3	TRUE
47	0	0	0	0	FALSE
48	0	0	0	0	FALSE
49	0	0	0	0	FALSE
50	0	0	0	0	FALSE
51	0	0	0	0	FALSE
52	0	0	0	0	FALSE
53	0	0	0	0	FALSE
54	0	0	0	0	FALSE
55	0	0	0	0	FALSE
56	0	0	0	0	FALSE
57	25	16	105	3	FALSE
58	0	0	0	0	FALSE
59	14	13	107	3	FALSE
60	0	0	0	0	FALSE
61	0	0	0	0	FALSE
62	0	0	0	0	FALSE
63	0	0	0	0	FALSE
64	0	0	0	0	FALSE
65	0	0	0	0	FALSE
66	0	0	0	0	FALSE
67	32	24	115	2	FALSE
68	20	17	88	2	FALSE
69	33	25	119	2	FALSE
70	0	0	0	0	FALSE
71	0	0	292	3	TRUE
72	0	0	0	0	FALSE
73	0	0	210	3	TRUE
74	0	0	0	0	FALSE
75	0	0	0	0	FALSE
76	0	0	0	0	FALSE
77	0	0	0	0	FALSE
78	0	0	0	0	FALSE
79	0	0	0	0	FALSE
80	0	0	0	0	FALSE
81	0	0	0	0	FALSE
82	0	0	0	0	FALSE
83	0	0	0	0	FALSE
84	0	0	0	0	FALSE
85	0	0	0	0	FALSE
86	0	0	0	0	FALSE
87	0	0	0	0	FALSE
88	0	0	0	0	FALSE
89	6	6	164	3	FALSE
90	0	0	200	3	TRUE
91	0	0	230	3	TRUE
92	0	0	253	3	TRUE
93	0	0	0	0	FALSE
94	0	0	0	0	FALSE
95	0	0	0	0	FALSE
96	0	0	0	0	FALSE
97	0	0	0	0	FALSE
98	0	0	0	0	FALSE
