#ID	ImageID	Value	Name
0	0	0	---
301	301	0	oaken club
302	302	0	copper sword
303	303	0	iron broadsword
304	304	0	steel broadsword
305	305	0	aurora blade
306	306	0	fire blade
307	307	0	sword of kings *
308	308	0	falcon blade *
309	309	0	sword of ruin *
310	310	0	cypress stick
311	311	0	stone sword
312	312	0	erdrick's sword ***
326	326	0	stone axe
327	327	0	iron axe
328	328	0	battleaxe
332	332	0	night club
709	709	0	pretty paddle
902	301	0	<oaken club>
903	326	0	<stone axe>
904	2049	0	<spiked club>
905	327	0	<iron axe>
906	332	0	<night club>
907	328	0	<battleaxe>
908	2052	0	<gigantes's club>
909	2055	0	<hela's hammer>
1187	1187	0	war banner *
2048	2048	0	barbed blade
2049	2049	0	spiked club
2050	2050	0	poison needle *
2051	2051	0	dragonsbane *
2052	2052	0	gigantes's club
2053	2053	0	mountaincleaver *
2054	2054	0	thunderbolt blade *
2055	2055	0	hela's hammer *
2058	308	0	falcon blade ***
2059	2059	0	liquid metal sword *
2500	0	0	borrowed sword
#Hammers			
116	316	0	borrowed hammer
117	317	0	borrowed hammer
118	318	0	borrowed hammer
202	202	0	historic hammer
316	316	0	giant mallet
317	317	0	sledgehammer
318	318	0	war hammer
320	320	0	ultimallet *
2498	320	0	borrowed hammer
